FIPS,STNAME,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,NHWA_MALE,NHWA_FEMALE,NHWhite_Alone,Not_NHWhite_Alone,MinorityMinority,MinorityPCT,Black,BlackPCT,Hispanic,HispanicPCT
06079,California,San Luis Obispo County,274804,140493,134311,123921,121157,96195,96742,192937,81867,No,29.79%,6291,2%,58998,21.47%
06081,California,San Mateo County,739311,363870,375441,235968,235696,152875,154434,307309,432002,Yes,58.43%,22949,3%,187658,25.38%
06083,California,Santa Barbara County,431249,216752,214497,186664,184849,99208,103113,202321,228928,Yes,53.08%,10301,2%,188772,43.77%
06085,California,Santa Clara County,1837504,923522,913982,539383,519472,320452,309788,630240,1207264,Yes,65.70%,53405,3%,494226,26.90%
06087,California,Santa Cruz County,266776,132819,133957,117147,117621,77829,79264,157093,109683,No,41.11%,3765,1%,87299,32.72%
06089,California,Shasta County,178586,87619,90967,77763,81010,71314,74688,146002,32584,No,18.25%,1733,1%,15849,8.87%
06091,California,Sierra County,3086,1549,1537,1456,1469,1336,1349,2685,401,No,12.99%,12,0%,270,8.75%
06093,California,Siskiyou County,44154,21970,22184,19252,19464,17179,17511,34690,9464,No,21.43%,643,1%,4915,11.13%
06095,California,Solano County,420757,209949,210808,129180,125840,85005,84647,169652,251105,Yes,59.68%,63226,15%,104203,24.77%
06097,California,Sonoma County,491829,241669,250160,212104,219163,155052,166724,321776,170053,No,34.58%,9231,2%,125660,25.55%
06099,California,Stanislaus County,521726,258268,263458,218133,222451,115429,122712,238141,283585,Yes,54.36%,16926,3%,224498,43.03%
06101,California,Sutter County,95022,47282,47740,35223,35792,22554,24018,46572,48450,Yes,50.99%,2267,2%,27878,29.34%
06103,California,Tehama County,63406,31583,31823,28857,29013,22174,22845,45019,18387,No,29.00%,533,1%,14500,22.87%
06105,California,Trinity County,13526,6991,6535,6194,5822,5821,5477,11298,2228,No,16.47%,66,0%,948,7.01%
06107,California,Tulare County,451977,226904,225073,200734,198777,68895,73169,142064,309913,Yes,68.57%,10053,2%,279394,61.82%
06109,California,Tuolumne County,54008,28323,25685,25481,23706,22279,21860,44139,9869,No,18.27%,1165,2%,5978,11.07%
06111,California,Ventura County,835981,414976,421005,354879,357237,195939,202683,398622,437359,Yes,52.32%,18543,2%,344470,41.21%
06113,California,Yolo County,204118,99317,104801,75871,79639,48177,51929,100106,104012,Yes,50.96%,6067,3%,63340,31.03%
06115,California,Yuba County,72926,36896,36030,29422,28664,21215,20919,42134,30792,No,42.22%,2778,4%,19128,26.23%
