Species.ID.number,Kingdom,Phylum,Class,Order,Family,Species,Red.List.status
22682510,ANIMALIA,CHORDATA,AVES,BUCEROTIFORMES,BUCEROTIDAE,Aceros nipalensis,VU
22682444,ANIMALIA,CHORDATA,AVES,BUCEROTIFORMES,BUCEROTIDAE,Anthracoceros marchei,VU
22682447,ANIMALIA,CHORDATA,AVES,BUCEROTIFORMES,BUCEROTIDAE,Anthracoceros montani,CR
22727019,ANIMALIA,CHORDATA,AVES,BUCEROTIFORMES,BUCEROTIDAE,Buceros hydrocorax,VU
22727029,ANIMALIA,CHORDATA,AVES,BUCEROTIFORMES,BUCEROTIDAE,Buceros mindanensis,VU
22682638,ANIMALIA,CHORDATA,AVES,BUCEROTIFORMES,BUCEROTIDAE,Bucorvus leadbeateri,VU
22682585,ANIMALIA,CHORDATA,AVES,BUCEROTIFORMES,BUCEROTIDAE,Bycanistes cylindricus,VU
22682627,ANIMALIA,CHORDATA,AVES,BUCEROTIFORMES,BUCEROTIDAE,Ceratogymna elata,VU
22682491,ANIMALIA,CHORDATA,AVES,BUCEROTIFORMES,BUCEROTIDAE,Penelopides mindorensis,EN
22682494,ANIMALIA,CHORDATA,AVES,BUCEROTIFORMES,BUCEROTIDAE,Penelopides panini,EN
22682504,ANIMALIA,CHORDATA,AVES,BUCEROTIFORMES,BUCEROTIDAE,Rhabdotorrhinus exarhatus,VU
22682517,ANIMALIA,CHORDATA,AVES,BUCEROTIFORMES,BUCEROTIDAE,Rhabdotorrhinus waldeni,CR
22682525,ANIMALIA,CHORDATA,AVES,BUCEROTIFORMES,BUCEROTIDAE,Rhyticeros cassidix,VU
22682535,ANIMALIA,CHORDATA,AVES,BUCEROTIFORMES,BUCEROTIDAE,Rhyticeros everetti,VU
22682531,ANIMALIA,CHORDATA,AVES,BUCEROTIFORMES,BUCEROTIDAE,Rhyticeros narcondami,EN
22682541,ANIMALIA,CHORDATA,AVES,BUCEROTIFORMES,BUCEROTIDAE,Rhyticeros subruficollis,VU
22728670,ANIMALIA,CHORDATA,AVES,BUCEROTIFORMES,UPUPIDAE,Upupa antaios,EX
22689559,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,AEGOTHELIDAE,Aegotheles savesi,CR
22728583,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,APODIDAE,Aerodramus bartschi,EN
22686507,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,APODIDAE,Aerodramus elaphrus,VU
22686581,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,APODIDAE,Aerodramus sawtelli,VU
22686853,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,APODIDAE,Apus acuticauda,VU
22686625,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,APODIDAE,Schoutedenapus schoutedeni,VU
22689809,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,CAPRIMULGIDAE,Antrostomus noctitherus,EN
22689993,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,CAPRIMULGIDAE,Caprimulgus concretus,VU
22689954,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,CAPRIMULGIDAE,Caprimulgus prigoginei,EN
22724428,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,CAPRIMULGIDAE,Caprimulgus solala,VU
22689826,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,CAPRIMULGIDAE,Eleothreptus candicans,EN
22689670,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,CAPRIMULGIDAE,Eurostopodus diabolicus,VU
22726340,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,CAPRIMULGIDAE,Eurostopodus exul,CR
22725672,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,CAPRIMULGIDAE,Eurostopodus nigripennis,VU
22689738,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,CAPRIMULGIDAE,Siphonorhis americana,CR
22687794,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Aglaeactis aliciae,EN
22733891,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Aglaiocercus berlepschi,EN
22687562,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Amazilia boucardi,EN
22687614,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Amazilia castaneiventris,EN
22687529,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Amazilia luciae,EN
22687699,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Anthocephala floriceps,VU
22687086,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Campylopterus phainopeplus,EN
22688279,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Chaetocercus berlepschi,EN
22688257,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Chaetocercus bombus,VU
22687333,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Chlorostilbon bracei,EX
22728709,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Chlorostilbon elegans,EX
61173094,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Coeligena consita,VU
22687828,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Coeligena orina,CR
22687813,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Coeligena prunellei,VU
22687922,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Eriocnemis godini,CR
22735457,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Eriocnemis isabellae,CR
22687939,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Eriocnemis mirabilis,CR
22687909,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Eriocnemis nigrivestis,CR
22688244,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Eulidia yarrellii,CR
22687635,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Eupherusa cyanophrys,EN
22687627,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Eupherusa poliocerca,VU
22687026,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Glaucis dohrnii,EN
22687901,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Heliangelus regalis,EN
22687721,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Heliodoxa gularis,VU
22687749,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Hylonympha macrocerca,EN
22687417,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Lepidopyga lilliae,CR
22688130,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Loddigesia mirabilis,EN
